"","event_psa","Treated PSA","posttreatment_mspe","pretreatment_mspe","Post MSPE / Pre MSPE"
"1","101","Untreated PSA",0.00239599042546029,0.00250349828560569,0.957056946767833
"2","102","Untreated PSA",0.0062435269630636,0.00173708540065596,3.59425446826386
"3","103","Untreated PSA",0.00894155194342821,0.00247248572395917,3.61642207143271
"4","104","Untreated PSA",0.00911573392594544,0.00324596039165189,2.8083318420612
"5","105","Untreated PSA",0.0138979197896493,0.0038639340987259,3.59683147655962
"6","106","Untreated PSA",0.00352264549022472,0.00149321200466431,2.35910606077443
"7","107","Untreated PSA",0.00358847152409001,0.00126481625702099,2.83714848237473
"8","108","Untreated PSA",0.0123903850698085,0.00188360355936841,6.57802169048945
"9","201","Untreated PSA",0.000985365926671236,0.000625723933286925,1.57476144710514
"10","202","Untreated PSA",0.00291079101821772,0.00101262893204958,2.87448928831831
"11","203","Untreated PSA",0.00243197173913146,0.000715706403050555,3.39800193035254
"12","204","Untreated PSA",0.0034244889570557,0.000726974284735583,4.71060535284445
"13","205","Untreated PSA",0.000662292695643718,0.000814157688857977,0.813469804077782
"14","206","Untreated PSA",0.0059906748174158,0.00122376163915004,4.89529547729296
"15","207","Untreated PSA",0.0126964601350222,0.00404437291035834,3.13929017339236
"16","208","Untreated PSA",0.0111091179253409,0.00260159208380663,4.27012289685556
"17","301","Untreated PSA",0.00637653292574655,0.0019894474736195,3.20517782464767
"18","302","Untreated PSA",0.0204377332039335,0.00711821419239878,2.87118828564586
"19","303","Untreated PSA",0.0107145177617543,0.00568887650795486,1.88341542425328
"20","304","Untreated PSA",0.00932354934928288,0.00194226319762283,4.80035319656684
"21","305","Untreated PSA",0.0133540745183854,0.00667649271722322,2.00016312216384
"22","306","Untreated PSA",0.00339050061872754,0.000620841486022347,5.46113733547359
"23","307","Untreated PSA",0.00476384302618368,0.00196629825769408,2.4227469090932
"24","308","Untreated PSA",0.00365197345516278,0.00212037373783222,1.7223253570837
"25","401","Untreated PSA",0.00643805076784029,0.00207483432096345,3.10292282270074
"26","402","Untreated PSA",0.00328367763108979,0.00274341610505022,1.19693021596142
"27","403","Untreated PSA",0.0123710608482315,0.00227593929550372,5.43558471558155
"28","404","Untreated PSA",0.010510575609758,0.00250237277051015,4.20024375809333
"29","405","Untreated PSA",0.0101605462796171,0.00247370917237393,4.10741343125086
"30","406","Untreated PSA",0.00658837683864293,0.00196305644115905,3.35618309311215
"31","407","Untreated PSA",0.00419799774475684,0.00291531614847517,1.43998027347826
"32","408","Untreated PSA",0.00335663309244643,0.00140759937983291,2.38465087477154
"33","409","Untreated PSA",0.00758226514160575,0.00286227807593404,2.64903162461999
"34","501","Untreated PSA",0.0278755799584934,0.00557633127302765,4.99891032179629
"35","502","Untreated PSA",0.00926581139141208,0.00231711212058213,3.99886190620946
"36","503","Untreated PSA",0.0145628827841485,0.00198896471933801,7.32184067548238
"37","504","Untreated PSA",0.0103114144241627,0.00243604612532779,4.23284859714026
"38","505","Untreated PSA",0.0132574777002391,0.00433467518375227,3.05847085150286
"39","506","Untreated PSA",0.0215781470170721,0.00371061414947022,5.81524948374189
"40","507","Untreated PSA",0.0260922033660603,0.00381671221107091,6.83630358358594
"41","601","Untreated PSA",0.0132705423035138,0.00323266788292033,4.10513630974223
"42","602","Untreated PSA",0.0196768854800738,0.0115068766604697,1.71001098392503
"43","603","Untreated PSA",0.0277386354710095,0.00564017941664075,4.91804132846724
"44","604","Untreated PSA",0.02126092112538,0.00350718510941349,6.06210406981784
"45","605","Untreated PSA",0.0112551755532368,0.00724079405843708,1.5544117761673
"46","606","Untreated PSA",0.0057501139503023,0.00181270743813784,3.17211361818502
"47","607","Untreated PSA",0.0194676577762856,0.00374185552230203,5.20267489224409
"48","608","Untreated PSA",0.0263971065846424,0.00423074810210786,6.2393472614195
"49","701","Treated PSA",0.0147203389181851,0.00396871781349578,3.7090918553413
"50","702","Treated PSA",0.0115554580152873,0.0037024501205131,3.12103003123939
"51","703","Treated PSA",0.0132512455696721,0.00621842203396501,2.13096594237153
"52","704","Treated PSA",0.0169665521519736,0.00253176616327618,6.70146887894987
"53","705","Treated PSA",0.00800813844050466,0.0104618392175172,0.765461815461274
"54","706","Treated PSA",0.0187871113608682,0.00433510322793003,4.33371718574712
"55","707","Treated PSA",0.00786708135330775,0.00222413036120978,3.53714939129223
"56","708","Treated PSA",0.00878394201315567,0.00276228286930313,3.17995745865509
